index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99
0,25.9712,37.6197,20.1979,37.8617,25.9537,33.2808,24.8152,36.6897,27.7699,28.3681,38.8613,28.2082,20.5884,38.2055,29.1711,27.9074,25.5411,21.2792,25.1139,26.9926,21.1006,34.3898,37.6457,31.2402,24.8957,20.4866,29.2372,37.6606,39.7415,22.6659,22.1985,35.9169,27.5147,39.8688,37.9701,36.4684,27.1695,33.6735,25.2208,25.1185,37.7536,30.9959,32.3120,35.8670,37.2884,25.2149,38.9318,27.2469,37.2921,37.8006,26.5221,22.0147,38.9819,25.6783,38.0108,21.3764,36.3012,26.3972,23.1845,35.4246,21.8525,22.6552,37.3567,38.8047,24.5175,29.4505,34.7743,22.6486,30.1283,38.9023,23.4545,22.8491,36.4430,39.4770,29.6937,38.7514,21.4420,25.7782,23.3559,38.9659,26.7503,22.5905,32.1828,27.1009,23.3013,38.3027,36.0221,28.4693,24.6434,26.0087,39.9245,24.9150,34.3154,33.3238,30.8822,29.5165,32.1260,39.3969,33.7247,31.3502
1,25.7041,37.4832,20.4692,37.7336,25.9707,33.5803,24.8371,36.3905,27.4731,28.3250,39.0275,28.4580,20.6756,38.4926,28.8886,28.0084,25.2436,21.2408,25.3843,27.1226,21.1201,34.6892,37.3926,31.0792,25.1029,20.7036,29.1115,37.3881,39.5856,22.4096,22.4744,36.0347,27.7831,40.0028,37.7314,36.2866,27.4580,33.7555,25.1481,25.4096,37.7542,31.2959,32.1497,36.1193,37.0110,25.3294,38.6321,27.2605,37.3275,37.5027,26.2227,21.9954,38.7691,25.8898,37.8091,21.5985,36.5800,26.2863,23.4087,35.6239,21.8769,22.9542,37.1077,38.9720,24.4140,29.7320,34.5070,22.5124,30.4245,38.9498,23.7459,22.9204,36.7429,39.4703,29.7435,39.0472,21.1623,25.6698,23.0657,39.0422,26.5408,22.8052,31.9066,26.9838,23.5724,38.4314,35.7462,28.5870,24.8633,26.2127,39.9135,25.2148,34.3332,33.0244,31.1449,29.6613,31.9211,39.6160,33.4789,31.5220
2,25.4499,37.3238,20.7282,37.5824,26.0137,33.8772,24.8849,36.0944,27.1735,28.3079,39.1713,28.7213,20.7559,38.7816,28.6161,28.1337,24.9438,21.2285,25.6422,27.2758,21.1656,34.9857,37.1356,30.9244,25.3282,20.9016,29.0101,37.1058,39.4080,22.1678,22.7595,36.1281,28.0621,40.1129,37.4779,36.1263,27.7526,33.8121,25.1012,25.7059,37.7810,31.5947,31.9659,36.3565,36.7375,25.4526,38.3347,27.3001,37.3368,37.2029,25.9262,21.9500,38.5387,26.0819,37.5888,21.8021,36.8673,26.2001,23.6495,35.8028,21.9273,23.2499,36.8450,39.1170,24.3354,30.0216,34.2288,22.4000,30.7238,38.9714,24.0300,23.0167,37.0423,39.4897,29.7673,39.3463,20.8742,25.5862,22.7833,39.1435,26.3508,23.0374,31.6212,26.8912,23.8536,38.5359,35.4610,28.6802,25.0646,26.4352,39.8764,25.5125,34.3248,32.7245,31.3941,29.8284,31.6979,39.8164,33.2189,31.6719
3,25.2106,37.1430,20.9732,37.4091,26.0824,34.1692,24.9584,35.8035,26.8737,28.3170,39.2915,28.9961,20.8611,39.0625,28.3554,28.2823,24.6441,21.2424,25.8859,27.4508,21.2368,35.2772,36.8931,30.7478,25.5699,21.0793,28.9337,36.8157,39.2099,21.9425,23.0354,36.2459,28.3497,40.1983,37.2113,35.9886,28.0511,33.8429,25.0286,25.9969,37.8337,31.8900,31.7622,36.5767,36.4543,25.5515,38.0419,27.3655,37.3199,36.9034,25.6268,21.9307,38.2924,26.2531,37.3516,21.9857,37.1611,26.1393,23.9050,35.9601,22.0033,23.5401,36.5707,39.2385,24.2824,30.3168,33.9419,22.3123,31.0237,38.9668,24.3046,23.1375,37.3388,39.5352,29.8171,39.6421,20.5799,25.5281,22.4932,39.2198,26.1818,23.2853,31.3289,26.8239,24.1428,38.6155,35.1757,28.7730,25.2458,26.6743,39.8135,25.8058,34.2903,32.4265,31.6277,30.0167,31.4581,39.9967,32.9470,31.7985
4,24.9879,36.9419,21.2020,37.2152,26.1763,34.4542,25.0570,35.5202,26.5757,28.3522,39.3874,29.2804,20.9904,39.3333,28.1088,28.4530,24.3468,21.2823,26.1133,27.6464,21.3330,35.5613,36.6361,30.5931,25.8262,21.2353,28.8829,36.5200,38.9930,21.7353,23.3000,36.3873,28.6436,40.2583,36.9577,35.8283,28.3510,33.8475,24.9309,26.2806,37.8605,32.1888,31.5401,36.7783,36.1635,25.6253,37.7493,27.4316,37.3291,36.6035,25.3269,21.9375,38.0321,26.4023,37.0993,22.1480,37.4590,26.1043,24.1732,36.0945,22.1043,23.8226,36.2869,39.3356,24.2552,30.6156,33.6485,22.2499,31.3221,38.9361,24.5677,23.2817,37.6303,39.6063,29.8925,39.9325,20.2816,25.4958,22.1975,39.2705,26.0351,23.5469,31.0318,26.7823,24.4379,38.6697,34.8917,28.8696,25.4054,26.9283,39.7252,26.0925,34.2300,32.1326,31.8440,30.2245,31.2035,40.1553,32.6650,31.9009
5,24.7836,36.7223,21.4469,37.0419,26.2947,34.7298,25.1799,35.2465,26.2820,28.4132,39.4581,29.5719,21.1428,39.5917,27.8779,28.6446,24.0541,21.3480,26.3570,27.8215,21.4537,35.8359,36.3666,30.4613,26.0951,21.3683,28.8580,36.2211,38.7588,21.5477,23.5512,36.5512,28.9417,40.2925,36.7191,35.6465,28.6503,33.8259,24.8088,26.5546,37.8611,32.4888,31.3012,36.9598,35.8803,25.7242,37.4555,27.4924,37.3645,36.3056,25.0287,21.9705,37.7858,26.5736,36.8337,22.2877,37.7528,26.0435,24.4521,36.2051,22.2046,24.1053,35.9957,39.4077,24.2543,30.9156,33.3507,22.2134,31.6168,38.8795,24.8172,23.4483,37.9268,39.6517,29.9929,40.2152,19.9817,25.4896,21.8986,39.2952,25.9117,23.8203,30.7322,26.7667,24.7365,38.6979,34.6172,28.9906,25.5822,27.1707,39.6123,26.3705,34.1443,31.8451,32.0414,30.4504,30.9360,40.2912,32.3752,31.9783
6,24.5609,36.5212,21.6758,36.8479,26.4367,34.9941,25.3262,34.9846,25.9947,28.4996,39.5031,29.8685,21.2721,39.8624,27.6646,28.8556,23.7682,21.4389,26.6150,27.9746,21.5979,36.0990,36.0866,30.3535,26.3514,21.5242,28.8593,35.9211,38.5092,21.3813,23.7872,36.7365,29.2416,40.3005,36.4972,35.4446,28.9465,33.7783,24.6633,26.8170,37.8355,32.7877,31.0475,37.1198,35.6067,25.8474,37.1682,27.5786,37.4257,36.0119,24.7345,22.0293,37.5553,26.7657,36.5654,22.4218,38.0402,25.9573,24.7395,36.2909,22.3292,24.3783,35.6993,39.4540,24.2795,31.2146,33.0509,22.2029,31.9053,38.7975,25.0512,23.6360,38.2262,39.6712,30.0683,40.5056,19.6824,25.5096,21.5986,39.2939,25.8126,24.1035,30.4324,26.7773,25.0365,38.6999,34.3543,29.1351,25.7795,27.3967,39.4757,26.6375,34.0339,31.5662,32.2183,30.6927,30.6814,40.4498,32.0797,32.0302
7,24.3216,36.3404,21.9207,36.6747,26.6011,35.2450,25.4947,34.7364,25.7161,28.6107,39.5222,30.1679,21.3773,40.1433,27.4705,29.0843,23.4913,21.5545,26.8853,28.1047,21.7645,36.3486,35.7983,30.2706,26.5931,21.7019,28.8867,35.6223,38.2460,21.2373,24.0062,36.9415,29.5410,40.2824,36.2642,35.2557,29.2374,33.7051,24.5413,27.0910,37.7840,33.0833,30.7807,37.2571,35.3450,25.9939,36.8895,27.6896,37.4611,35.7140,24.4466,22.1135,37.3090,26.9369,36.3098,22.5788,38.3189,25.8464,25.0334,36.3513,22.4770,24.6393,35.4000,39.4744,24.3306,31.5102,32.7513,22.2186,32.1856,38.6906,25.2679,23.8434,38.5261,39.6644,30.1180,40.8014,19.3859,25.5556,21.2998,39.2663,25.7385,24.3942,30.1346,26.8140,25.3356,38.6758,34.0981,29.2912,25.9611,27.6354,39.3162,26.8916,33.8995,31.2979,32.3735,30.9494,30.4415,40.6300,31.7808,32.0561
8,24.0989,36.1393,22.1798,36.5234,26.7868,35.4806,25.6843,34.5039,25.4481,28.7457,39.5150,30.4678,21.4577,40.4324,27.2971,29.3291,23.2256,21.6937,27.1433,28.2578,21.9521,36.5826,35.5039,30.2131,26.8184,21.9000,28.9369,35.3266,37.9713,21.1168,24.2064,37.1649,29.8378,40.2382,36.0294,35.0689,29.5208,33.6069,24.4436,27.3747,37.7070,33.3732,30.5030,37.3706,35.0970,26.1628,36.6214,27.8244,37.4703,35.4141,24.1671,22.2225,37.0487,27.0861,36.0688,22.7575,38.6063,25.7602,25.3314,36.3859,22.6471,24.8865,35.1000,39.4686,24.4073,31.8002,32.4542,22.2604,32.4555,38.5596,25.5020,24.0311,38.8243,39.6316,30.1418,41.1005,19.0946,25.6273,21.0046,39.2129,25.6901,24.6903,29.8412,26.8765,25.6314,38.6258,33.8293,29.4244,26.1629,27.8574,39.1352,27.1309,33.7424,31.0424,32.5057,31.2187,30.2183,40.8305,31.4808,32.0559
9,23.8946,35.9197,22.4511,36.3953,26.9924,35.6992,25.8549,34.2571,25.1930,28.9035,39.4818,30.7660,21.5629,40.7133,27.1457,29.5881,22.9730,21.8555,27.3869,28.4328,22.1187,36.8321,35.2055,30.1814,27.0256,22.1169,28.9611,35.0275,37.6871,21.0206,24.4254,37.3700,30.1295,40.1684,35.7792,34.9033,29.7946,33.4843,24.3710,27.6658,37.6050,33.6553,30.2165,37.4595,34.8646,26.3526,36.3662,27.9820,37.4534,35.1146,23.8982,22.3555,36.7764,27.2120,35.8443,22.9565,38.9000,25.6994,25.6312,36.3944,22.8380,25.1178,34.8017,39.4367,24.5090,32.0824,32.1619,22.3279,32.7130,38.4057,25.7514,24.1977,39.1185,39.5729,30.1505,41.4003,18.8106,25.7241,20.7152,39.1339,25.6676,24.9894,29.5544,26.9643,25.9217,38.5501,33.5499,29.5337,26.3740,28.0707,38.9341,27.3535,33.5635,30.8016,32.6139,31.4985,30.0134,41.0496,31.1820,32.0296
