index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
0.0,-38.5006,18.458299999999998,20.084633333333333,7.9787333333333335,-3.9204000000000003,-22.770233333333334,-23.595466666666667,-5.874333333333333,8.506533333333335,1.824633333333333,1.7720666666666667,7.0348,9.604466666666665,9.925066666666668,9.231966666666667,8.419066666666668,7.456766666666667,5.491833333333333,3.7230333333333334,2.1519999999999997,0.6321333333333333,-0.8401666666666666,-2.200366666666667,-3.2363999999999997,-3.9159,-4.285466666666665,-4.249933333333333,-4.119233333333333,-3.9325666666666668,-3.686833333333334,-3.3839666666666663,-3.0659333333333336,-2.8029666666666664,-2.6041666666666665,-2.432,-2.188766666666667,-1.9413666666666665
3.0,-38.04813333333333,14.942099999999998,18.453033333333334,7.4851,-5.724333333333334,-23.572433333333333,-23.884933333333336,-5.423933333333333,9.037966666666668,2.1540666666666666,1.4950333333333334,6.581333333333333,8.5732,8.289033333333334,7.2367,6.499233333333334,6.2478333333333325,6.0372666666666674,4.956666666666667,2.9539000000000004,1.0148,-0.2321333333333333,-1.082,-1.9754333333333332,-2.8107,-3.3958666666666666,-3.5698666666666665,-3.468366666666667,-3.3036333333333334,-3.0923666666666665,-2.8631999999999995,-2.6437666666666666,-2.4591,-2.3195333333333332,-2.1755999999999998,-1.9803333333333333,-1.7829666666666668
6.0,-36.01673333333333,11.200800000000001,17.287533333333332,4.786533333333334,-8.132133333333334,-26.040633333333332,-24.05826666666667,-4.5085,9.891566666666668,3.1618999999999997,2.124,7.689766666666666,8.3377,6.142133333333334,4.190933333333334,3.254866666666667,3.041933333333333,3.5382666666666664,4.0968333333333335,3.2035666666666667,1.6875666666666664,0.2879333333333334,-0.7176,-1.614766666666667,-2.512233333333333,-3.2045333333333335,-3.6605333333333334,-3.7655,-3.770766666666667,-3.657733333333333,-3.4871,-3.3219666666666665,-3.1856666666666666,-3.0414666666666665,-2.839566666666667,-2.5671333333333335,-2.3083000000000005
9.0,-30.9127,9.601633333333334,17.111433333333334,1.9286666666666668,-11.663433333333332,-28.500833333333333,-24.0699,-3.4861,10.568733333333332,3.0409333333333333,2.83,7.459966666666666,8.682366666666667,8.620366666666667,7.996566666666666,6.926233333333333,5.728833333333334,3.5886,2.5776666666666666,1.9492,1.1408333333333334,0.2401333333333333,-0.6789999999999999,-1.4292999999999998,-2.067933333333333,-2.5599000000000003,-2.959766666666667,-3.0885666666666665,-3.1447000000000003,-3.130133333333333,-3.0765666666666664,-3.0011333333333337,-2.9080666666666666,-2.7779666666666665,-2.5731333333333333,-2.2769,-2.0016000000000003
12.0,-25.1065,5.139766666666667,14.619833333333332,-2.5538000000000003,-14.928133333333335,-30.816399999999998,-24.267833333333332,-2.5919333333333334,11.081033333333332,2.5034333333333336,1.0941666666666665,4.458733333333333,6.990066666666666,7.388833333333333,6.5397,5.563399999999999,4.8149,4.3938,3.3654999999999995,1.8236999999999999,0.6624666666666666,0.12016666666666666,-0.16746666666666665,-0.5731666666666667,-1.1517333333333335,-1.6361333333333334,-2.082333333333333,-2.2866999999999997,-2.442066666666667,-2.5359,-2.5983,-2.6336666666666666,-2.6379,-2.5945666666666667,-2.4354333333333336,-2.153366666666667,-1.8961666666666666
15.0,-27.872799999999998,2.9136666666666664,9.561300000000001,-6.9120333333333335,-19.015,-33.2567,-24.626066666666663,-0.9720333333333334,10.490833333333335,1.8856333333333335,0.8350000000000001,4.730966666666666,7.533666666666666,8.551766666666667,8.089933333333333,7.114633333333333,5.9437,3.8715666666666664,2.888666666666667,1.390666666666667,-0.37789999999999996,-1.2230999999999999,-1.1577666666666666,-1.1255333333333333,-1.3638000000000001,-1.6919000000000002,-2.2026,-2.477,-2.7083666666666666,-2.8684999999999996,-2.942,-2.9284999999999997,-2.8458666666666663,-2.6966666666666668,-2.4433666666666665,-2.1794,-1.9574333333333334
18.0,-32.470333333333336,0.4972666666666667,8.0933,-10.0589,-24.1144,-36.51786666666667,-24.702233333333336,-0.17433333333333334,10.915766666666668,0.9966333333333334,-0.2033,5.505533333333333,8.191033333333332,8.605,8.198666666666666,7.7386333333333335,7.402233333333334,6.692333333333333,4.962066666666666,2.5997333333333335,0.6734,-0.8482333333333334,-1.7787666666666666,-2.2151666666666667,-2.1158,-1.7641333333333333,-1.7339666666666667,-1.8406333333333331,-1.9511333333333336,-2.0164,-2.0345666666666666,-2.0703666666666667,-2.1317333333333335,-2.1710666666666665,-2.0819,-1.8641666666666667,-1.6145333333333334
21.0,-41.82266666666667,-8.4013,5.119333333333333,-11.859133333333332,-28.54043333333333,-38.76466666666667,-24.226766666666666,0.5540333333333334,10.646933333333333,0.9972,-1.745033333333333,3.0115,5.097833333333333,5.2825999999999995,4.786366666666667,4.2915,3.8395999999999995,4.1260666666666665,4.434666666666667,3.1803666666666666,1.2679,-0.42556666666666665,-1.5573333333333332,-2.4581999999999997,-3.083933333333333,-3.099266666666667,-2.878933333333334,-2.8234333333333335,-2.8011,-2.8017333333333334,-2.8124333333333333,-2.8212666666666664,-2.8108333333333335,-2.7527000000000004,-2.5978,-2.3433666666666664,-2.0517333333333334
24.0,-35.693999999999996,-17.2233,-0.13443333333333332,-15.333466666666666,-32.062466666666666,-40.1897,-23.572866666666666,1.9090333333333334,10.874933333333333,1.7349333333333334,-3.8158666666666665,1.7149333333333334,3.5911333333333335,3.6549666666666667,3.2970666666666673,2.9407333333333336,2.528366666666667,2.489033333333333,3.0411,2.7078666666666664,1.7063,0.3302333333333333,-0.8018666666666666,-1.6905000000000001,-2.3747666666666665,-2.8212333333333337,-3.0566,-3.1040333333333336,-3.0944333333333334,-3.0432333333333332,-2.9901666666666666,-2.9452,-2.8841666666666668,-2.7914333333333334,-2.648433333333333,-2.3901,-2.0880666666666667
27.0,-24.436533333333333,-22.515200000000004,-3.3226,-17.451233333333334,-34.418366666666664,-40.65586666666667,-21.977500000000003,2.6151999999999997,10.827066666666667,1.8665333333333332,-3.3094,0.1923,2.752466666666667,3.913366666666667,4.013966666666667,3.6758666666666664,3.1649333333333334,2.1147666666666667,1.3043666666666667,0.4450333333333334,-0.7328,-1.437166666666667,-1.5488666666666664,-1.3804999999999998,-1.4838666666666667,-1.9528666666666668,-2.5468333333333337,-2.7626666666666666,-2.902433333333333,-2.958166666666667,-2.9702333333333333,-2.9836333333333336,-3.018166666666666,-3.0299,-2.9413666666666667,-2.6570666666666667,-2.3412333333333333
