index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
0.5,-38.925349999999995,19.44905,19.7945,8.05495,-3.6436,-22.6923,-23.5415,-5.865,8.549050000000001,1.9144999999999999,1.9651,7.06105,9.59255,9.781600000000001,8.97035,8.15225,7.20205,5.2337,3.73205,2.2058,0.48834999999999995,-1.1515499999999999,-2.43365,-3.3541,-4.06355,-4.410399999999999,-4.3088999999999995,-4.170249999999999,-4.00065,-3.782,-3.4922,-3.16805,-2.8956999999999997,-2.6940999999999997,-2.51175,-2.2567000000000004,-1.99955
2.5,-38.040949999999995,16.5962,19.3536,7.848599999999999,-4.4251000000000005,-22.8572,-23.82105,-5.89945,8.441749999999999,1.7197,1.36585,7.11595,9.771999999999998,9.991900000000001,9.1699,8.36425,7.728199999999999,6.35025,4.2164,2.18645,0.80475,-0.33385,-1.671,-2.8737500000000002,-3.521,-3.91845,-4.01295,-3.9002499999999998,-3.69175,-3.40975,-3.11685,-2.8569,-2.64025,-2.4579,-2.2875,-2.05365,-1.82165
4.5,-37.8568,14.05535,18.6584,7.2922,-6.3984000000000005,-23.9645,-23.85805,-5.18295,9.325949999999999,2.33385,1.5697,6.247199999999999,7.90195,7.54765,6.562749999999999,5.860950000000001,5.62665,5.7097,5.0710999999999995,3.2666000000000004,1.1773,-0.12305,-0.8189,-1.5899,-2.50535,-3.19315,-3.40785,-3.3109,-3.1619,-2.97705,-2.7617000000000003,-2.5396,-2.35715,-2.23355,-2.1121499999999997,-1.9432999999999998,-1.7652999999999999
6.5,-35.576499999999996,11.3436,17.47215,5.2018,-8.0201,-25.7196,-24.11255,-4.72345,9.65445,2.9837499999999997,2.0326,7.45775,8.1199,5.8377,3.9011500000000003,3.0551000000000004,3.07285,3.9341999999999997,4.2954,3.33085,1.8447,0.28695000000000004,-0.7397,-1.6147,-2.5109,-3.1836,-3.6403,-3.74465,-3.74465,-3.6331499999999997,-3.46725,-3.30695,-3.1763500000000002,-3.0382499999999997,-2.8436500000000002,-2.5696000000000003,-2.317
8.5,-35.646950000000004,10.5114,17.094949999999997,3.2680499999999997,-9.71685,-27.0146,-24.00705,-3.8947,10.33455,3.3942,2.5060000000000002,7.86015,8.686900000000001,7.3923000000000005,6.0778,5.00135,3.9925,2.9373,3.3864,2.84515,1.3142,0.22115,-0.7073,-1.61565,-2.4368,-3.1045499999999997,-3.53585,-3.61815,-3.6239,-3.54695,-3.4265499999999998,-3.2861000000000002,-3.1422499999999998,-2.9833999999999996,-2.7680499999999997,-2.4766,-2.19895
10.5,-29.1707,9.34865,17.03135,1.60295,-11.956399999999999,-29.078,-24.07265,-3.37375,10.70145,2.9263,2.8924000000000003,7.406700000000001,8.7233,8.91375,8.302299999999999,7.2152,6.0908,3.8188000000000004,2.32995,1.55315,1.0837,0.28400000000000003,-0.6478999999999999,-1.33575,-1.9225499999999998,-2.3585000000000003,-2.7542999999999997,-2.9183,-3.00465,-3.0017,-2.9516999999999998,-2.8916000000000004,-2.822,-2.7075,-2.50735,-2.21985,-1.9489
12.5,-24.90115,5.9392499999999995,15.58845,-1.6411,-13.95635,-30.192349999999998,-24.2539,-2.88105,11.2716,2.5925000000000002,1.06165,5.40335,7.9674,8.02115,7.11875,6.14725,5.4589,5.0557,3.7098,1.8786,0.5611,0.1064,-0.17795,-0.6471,-1.1907,-1.6015000000000001,-2.0192,-2.2119999999999997,-2.35105,-2.41595,-2.443,-2.4535,-2.4595000000000002,-2.4416,-2.3127,-2.04935,-1.7993999999999999
14.5,-26.122700000000002,3.05755,11.85975,-5.2687,-16.95455,-32.27005,-24.37645,-1.6452499999999999,10.6853,2.16,1.3916,3.21755,5.45575,6.2911,5.49365,4.5146999999999995,3.6402,2.8792,2.50035,1.3545,0.40465,-0.03925000000000001,-0.3389,-0.7287,-1.29855,-1.8611,-2.3538,-2.6015,-2.8192,-2.99125,-3.1121,-3.15855,-3.1250999999999998,-3.004,-2.7508999999999997,-2.4335,-2.16705
16.5,-28.4451,3.08335,8.823500000000001,-7.28895,-20.0038,-33.64725,-24.7105,-0.81965,10.4009,1.8311000000000002,0.4405,5.1636500000000005,8.362449999999999,9.59865,9.332049999999999,8.3551,7.0388,4.463150000000001,3.1711,1.58845,-0.5388999999999999,-1.7215500000000001,-1.471,-1.17225,-1.28405,-1.52945,-2.0544000000000002,-2.3320499999999997,-2.5554,-2.6994,-2.75535,-2.7312000000000003,-2.64105,-2.49125,-2.2546,-2.0163,-1.81395
18.5,-30.84735,1.1025,8.259599999999999,-9.5135,-23.126849999999997,-36.1323,-24.76625,-0.31655,10.8488,1.01,-0.1593,5.473800000000001,8.4469,9.03555,8.73585,8.399750000000001,8.03475,6.80785,4.539,2.2433,0.46,-1.02635,-1.8026,-1.9851,-1.8256999999999999,-1.5379999999999998,-1.5671,-1.6785999999999999,-1.7916,-1.87155,-1.90095,-1.9374500000000001,-1.99235,-2.03075,-1.96055,-1.77055,-1.53815
