index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
0,-57.6194,-21.6358,-1.4026,7.9772,-0.9557,-18.7053,-20.8103,-6.6469,2.0696,-1.5390,-3.7406,-2.8342,-1.3429,0.3279,1.4730,2.0771,2.3371,2.2830,1.5016,0.4244,-0.4556,-1.1180,-1.4720,-1.6963,-1.8741,-2.0508,-2.2949,-2.4373,-2.5784,-2.7249,-2.8800,-3.0292,-3.1242,-3.1306,-3.0328,-2.8282,-2.6123
1,-15.2748,-16.8615,6.1613,12.4693,6.3069,-12.2221,-23.0299,-9.7985,0.1362,-2.0571,-1.4802,-0.0764,0.6457,0.8325,0.7308,0.6199,0.5510,0.1854,-0.6911,-1.6266,-2.2775,-2.6125,-2.6831,-2.6036,-2.5201,-2.6187,-2.8605,-2.9962,-3.1254,-3.2524,-3.3790,-3.4877,-3.5442,-3.5191,-3.3759,-3.1176,-2.8581
2,-9.3193,-4.4308,12.9606,17.8627,13.0203,1.3116,-24.2894,-12.3125,-0.8140,-2.3828,-1.9034,-0.5992,0.9237,2.0210,2.4057,2.3991,2.3015,1.9726,1.2839,0.4129,-0.4027,-1.0324,-1.3085,-1.3913,-1.4173,-1.5477,-1.7794,-1.9077,-2.0307,-2.1524,-2.2741,-2.3889,-2.4749,-2.5072,-2.4295,-2.2564,-2.0771
3,-19.6622,4.0161,20.6626,23.2935,18.9509,11.6132,-18.8107,-15.3193,-3.0885,-2.3656,0.1247,3.3118,4.1337,3.6531,2.9031,2.2211,1.6107,0.2736,-1.0572,-1.9875,-2.5235,-2.8464,-3.0102,-3.1539,-3.2490,-3.3047,-3.3155,-3.2954,-3.2570,-3.2062,-3.1560,-3.1024,-3.0305,-2.9330,-2.7881,-2.5959,-2.4006
4,-31.3482,0.1126,22.2219,24.8755,20.8358,15.8081,-1.6107,-16.6602,-8.9120,-4.2217,-0.7673,1.0871,1.3407,0.9813,0.5194,0.0952,-0.2757,-1.1026,-1.9261,-2.4844,-2.8169,-3.0892,-3.2979,-3.4475,-3.5467,-3.5323,-3.4164,-3.3460,-3.2719,-3.2067,-3.1545,-3.1057,-3.0533,-2.9845,-2.8688,-2.6907,-2.4897
5,-43.7917,-12.2874,15.5748,23.3834,19.3769,15.1343,8.0718,-2.0395,-11.8686,-6.3939,-2.1115,-1.3760,-2.0410,-2.4273,-2.4861,-2.4151,-2.2582,-2.2347,-2.6874,-3.2298,-3.6084,-3.8391,-3.8774,-3.7548,-3.4613,-3.0990,-2.8796,-2.8292,-2.7975,-2.7893,-2.8047,-2.8432,-2.8750,-2.8805,-2.8333,-2.6593,-2.4542
6,-60.8232,-18.8305,6.0544,20.7455,18.1914,14.9121,10.6662,5.5628,-7.0976,-8.0192,-4.8212,-4.3621,-4.4957,-4.2397,-3.7727,-3.3965,-3.0962,-2.5822,-2.4250,-2.5707,-2.6631,-2.6041,-2.4286,-2.3069,-2.1089,-1.8094,-1.6783,-1.7069,-1.7722,-1.8624,-1.9560,-2.0467,-2.1445,-2.2298,-2.2666,-2.1669,-2.0225
7,-57.0124,-27.5978,-11.3359,13.2999,16.8582,12.4443,12.5653,10.3083,1.6292,-4.5973,-3.4619,-2.7431,-3.0519,-3.5178,-3.8066,-3.9969,-4.0702,-3.8763,-3.6613,-3.6817,-3.5551,-3.1802,-2.7990,-2.4830,-2.1220,-1.7666,-1.5914,-1.6185,-1.6936,-1.8044,-1.9309,-2.0604,-2.1925,-2.2930,-2.3084,-2.1864,-2.0485
8,-15.7417,-34.5030,-22.1511,-4.0520,8.2720,8.8702,12.6532,11.7700,5.1293,-0.9278,-2.0969,-1.2173,-0.9212,-0.9851,-1.2093,-1.4361,-1.5888,-1.6852,-2.0455,-2.5994,-2.9573,-3.0525,-2.8709,-2.7080,-2.5525,-2.2968,-2.0370,-1.9510,-1.9000,-1.9016,-1.9607,-2.0764,-2.2055,-2.2923,-2.3111,-2.2002,-2.0420
9,3.8440,-11.9553,-22.6461,-17.4869,-11.4264,-0.8954,12.4871,12.1546,7.2810,0.8469,-1.6150,1.2947,2.5208,2.4179,1.8471,1.2176,0.6812,-0.2162,-1.0195,-1.6555,-2.1222,-2.3557,-2.3040,-2.2752,-2.3058,-2.3314,-2.3282,-2.3097,-2.2792,-2.2483,-2.2344,-2.2525,-2.2775,-2.2703,-2.2119,-2.0887,-1.9441
